vendor_id,device_id,subsystem_vendor_id,subsystem_device_id,card_name
0x1002,0x3E50,,,ati_radeon_x600_xt
0x1002,0x4E56,,,ati_radeon_9550_mobile
0x1002,0x4150,,,ati_radeon_9600_pro
0x1002,0x4151,0x1043,0xC004,ati_radeon_9600_se
0x1002,0x4151,0x174b,0x7C37,ati_radeon_9600_se
0x1002,0x4152,,,ati_radeon_9600_xt
0x1002,0x4152,,,ati_radeon_x1050
0x1002,0x4E48,,,ati_radeon_9800
0x1002,0x4152,0x1002,0x0002,ati_radeon_9600_xt
0x1002,0x4152,0x1002,0x4772,ati_radeon_9600_xt
0x1002,0x4152,0x1043,0xC002,ati_radeon_9600_xt
0x1002,0x4152,0x1043,0xC01A,ati_radeon_9600_xt
0x1002,0x4152,0x1462,0x9510,ati_radeon_9600_xt
0x1002,0x4152,0x174B,0x7C29,ati_radeon_9600_xt
0x1002,0x4152,0x1787,0x4002,ati_radeon_9600_xt
0x1002,0x4153,,,ati_radeon_9550
0x1002,0x4155,,,ati_radeon_9600
0x1002,0x4242,,,ati_radeon_8500_dv
0x1002,0x4E50,,,ati_radeon_9600_mobile
0x1002,0x4E50,,,ati_radeon_9700_mobile
0x1002,0x5046,,,ati_rage_128_pro
0x1002,0x5157,,,ati_radeon_7500
0x1002,0x5157,,,ati_radeon_7500_le
0x1002,0x5157,0x17AF,0x2002,ati_radeon_7500
0x1002,0x5960,,,ati_radeon_9200_pro
0x1002,0x5960,,,ati_radeon_9250
0x1002,0x5960,0x1FD3,0x5960,ati_radeon_9250
0x1002,0x5960,0x1458,0x4054,ati_radeon_9250
0x1002,0x5962,,,ati_radeon_9200
0x1002,0x5964,,,ati_radeon_9200_se
0x1002,0x6738,,,amd_radeon_hd_6870
0x1002,0x6759,0x103C,0x3130,amd_radeon_hd_6570
0x1002,0x6759,0x1043,0x0403,amd_radeon_hd_6570
0x1002,0x6759,0x1462,0x2500,amd_radeon_hd_6570
0x1002,0x6759,0x1462,0x2509,amd_radeon_hd_7570
0x1002,0x6759,0x148C,0x7570,amd_radeon_hd_7570
0x1002,0x6759,0x1642,0x3A67,amd_radeon_hd_6570
0x1002,0x6759,0x1682,0x3280,amd_radeon_hd_7570
0x1002,0x6759,0x1682,0x3530,amd_radeon_hd_8550
0x1002,0x6759,0x1682,0x5230,amd_radeon_r5_230
0x1002,0x6759,0x1682,0x6450,amd_radeon_hd_6450
0x1002,0x6759,0x174B,0x7570,amd_radeon_hd_7570
0x1002,0x6759,0x174B,0x8550,amd_radeon_hd_8550
0x1002,0x6759,0x174B,0x8570,amd_radeon_hd_8550
0x1002,0x6759,0x174B,0xAA90,amd_radeon_hd_6570
0x1002,0x6759,0x174B,0xE142,amd_radeon_hd_6570
0x1002,0x6759,0x174B,0xE181,amd_radeon_hd_6570
0x1002,0x6759,0x1787,0xA230,amd_radeon_r5_230
0x1002,0x6759,0x1787,0xA450,amd_radeon_hd_6450
0x1002,0x6759,0x1B0A,0x908F,amd_radeon_hd_6570
0x1002,0x6759,0x1B0A,0x9090,amd_radeon_hd_6570
0x1002,0x6759,0x1B0A,0x9091,amd_radeon_hd_6570
0x1002,0x6759,0x1B0A,0x9092,amd_radeon_hd_6570
0x1002,0x6759,0x1B0A,0x909E,amd_radeon_hd_6570
0x1002,0x6759,0x1B0A,0x90B5,amd_radeon_hd_7570
0x1002,0x6759,0x1B0A,0x90B6,amd_radeon_hd_7570
0x1002,0x6778,0x1019,0x0024,amd_radeon_hd_7470
0x1002,0x6778,0x1019,0x0027,amd_radeon_hd_8470
0x1002,0x6779,0x174B,0xA004,amd_radeon_r5_230
0x1002,0x6779,0x1019,0x0016,amd_radeon_hd_6450
0x1002,0x6779,0x1019,0x2120,amd_radeon_hd_6450
0x1002,0x67EF,,,amd_radeon_rx_460
0x1002,0x67EF,,,amd_radeon_rx_560
0x1002,0x67EF,,,amd_radeon_rx_560x
0x1002,0x67FF,,,amd_radeon_rx_550
0x1002,0x67FF,,,amd_radeon_rx_560
0x1002,0x67FF,,,amd_radeon_rx_560x
0x1002,0x68F9,,,amd_radeon_hd_7350
0x1002,0x68F9,,,amd_radeon_hd_8350
0x1002,0x71C6,0x174B,0x0880,,ati_radeon_x1650_pro
0x1002,0x7240,,,ati_radeon_x1950_xt
0x1002,0x7244,,,ati_radeon_x1950_xt
0x1002,0x7280,,,ati_radeon_x1950_pro
0x1002,0x7288,,,ati_radeon_x1950_gt
0x1002,0x9490,,,amd_radeon_hd_4670
0x1002,0x9515,,,amd_radeon_hd_3850
0x1002,0x95C6,,,amd_radeon_hd_3450
0x1039,0x0200,,,sis_6326
0x1039,0x6326,,,sis_6326
0x1039,0x0300,,,sis_300
0x1039,0x0300,,,sis_305
0x1039,0x0315,,,sis_315
0x104C,0x3D07,,,3dlabs_permedia_2
0x121A,0x0005,,,3dfx_voodoo3_2000
0x121A,0x0005,,,3dfx_voodoo3_3000
0x121A,0x0005,,,3dfx_voodoo3_3500
0x121A,0x0009,,,3dfx_voodoo4_4500
0x121A,0x0009,,,3dfx_voodoo5_5500
0x18CA,0x0040,,,xgi_volari_v3xt
0x18CA,0x0040,,,xgi_volari_v5
0x18CA,0x0040,,,xgi_volari_v8
0x18CA,0x0040,,,xgi_volari_v8_ultra
0x3D3D,0x0009,,,3dlabs_permedia_2
0x3D3D,0x0100,,,3dlabs_permedia_2
